clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,,1,2,3,4,5,6,index
Vip Col15a1 Pde1a,0.576923077,14208,0,22,6,2,,Adra1b,Egln3,nan,nan,nan,nan,Vip Col15a1 Pde1a&Adra1b>=511.47943115234375&Egln3>=203.41342163085938
Vip Crispld2 Htr2c,0.697050938,14035,43,54,104,2,,Crispld2,Cxcl14,nan,nan,nan,nan,Vip Crispld2 Htr2c&Crispld2>=71.36846923828125&Cxcl14>=3465.75537109375
Vip Crispld2 Kcne4,0.528455285,14061,60,50,65,4,,Col24a1,Crispld2,Sp8,Tac2,nan,nan,Vip Crispld2 Kcne4&Col24a1>=6.788515090942383&Crispld2>=83.88957214355469&Sp8>=4.246532917022705&Tac2>=1980.440673828125
Vip Gpc3 Slc18a3,0.446096654,14076,62,50,48,4,,Calb2,Cd24a,Npy2r,Vip,nan,nan,Vip Gpc3 Slc18a3&Calb2>=521.3723754882812&Cd24a>=29.40393829345703&Npy2r>=223.1943817138672&Vip>=18917.998046875
Vip Igfbp4 Mab21l1,0.4,14170,12,42,12,4,,Grm8,Npy2r,Penk,Pxdc1,nan,nan,Vip Igfbp4 Mab21l1&Grm8>=301.7203369140625&Npy2r>=0.578101396560669&Penk>=3169.4462890625&Pxdc1>=83.21499633789062
Vip Igfbp6 Car10,0.521472393,14162,7,50,17,2,,Calb2,Penk,nan,nan,nan,nan,Vip Igfbp6 Car10&Calb2>=1771.502685546875&Penk>=15357.021484375
Vip Igfbp6 Pltp,0.697329377,14105,6,78,47,2,,Calb2,Timp3,nan,nan,nan,nan,Vip Igfbp6 Pltp&Calb2>=2048.589599609375&Timp3>=173.43153381347656
Vip Lect1 Oxtr,0.647948164,14097,28,51,60,3,,Cbln2,Cbln4,Penk,nan,nan,nan,Vip Lect1 Oxtr&Cbln2>=270.85626220703125&Cbln4>=63.631046295166016&Penk>=1839.158447265625
Vip Lmo1 Fam159b,0.727272727,14173,2,37,24,2,,Calb2,Cd24a,nan,nan,nan,nan,Vip Lmo1 Fam159b&Calb2>=1794.344482421875&Cd24a>=768.1830444335938
Vip Lmo1 Myl1,0.598290598,14153,13,42,28,3,,Calb2,Egfr,Sp8,nan,nan,nan,Vip Lmo1 Myl1&Calb2>=4709.00244140625&Egfr>=43.60884094238281&Sp8>=7.6024699211120605
Vip Ptprt Pkp2,0.717054264,13999,31,95,111,3,,Calb2,Chat,Npy2r,nan,nan,nan,Vip Ptprt Pkp2&Calb2>=1310.789794921875&Chat>=0.7702481746673584&Npy2r>=182.3062744140625
Vip Pygm C1ql1,0.565552699,14080,19,93,44,4,,Cxcl14,Pxdc1,Rxfp1,Vip,nan,nan,Vip Pygm C1ql1&Cxcl14>=809.4847412109375&Pxdc1>=66.98524475097656&Rxfp1>=87.96367645263672&Vip>=4680.1669921875
